review_text,review_stars,title
"I just read the book “The Machine Learning Solutions Architect Handbook” by my colleague at Amazon Web Services, David Ping. I was honored that Packt reached out to me to ask if I would post my thoughts about the book and provided me with an advanced copy of the book.Onto the book itself. This book successfully takes on a complex challenge of presenting both the fundamentals of machine learning, while also diving deep into concrete discussions and architectures of how to actually execute ML workloads at production scale.What I liked most about this book is that while the author gives an excellent overview of how to deploy AI/ML workloads on AWS* specifically, he also spends many pages explaining the fundamentals of machine learning in an organized, clear manner in the context of business enterprise workloads. This book addresses real-life questions like:  * What types of business problems and use cases are amenable to AI/ML?  * How, on a basic level, does AI/ML work? What are common algorithms used nowadays?  * What are the frequently used AI/ML libraries, and how do they work?  * What are the most commonly used solutions for AI/ML orchestration?This book does a good job of answering questions like this and many others. Reading this book will give you a strong sense of how to architect AI/ML workloads for scale, reproducibility and with proper governance and orchestration. In addition, the code within the repository associated with the book gives readers a good place to start in a hands-on fashion.This book especially fills an important niche for data scientists and machine learning engineers who want to expand their horizons into the infrastructure of doing AI/ML at scale. I highly recommend this book for anyone who wants to understand what designing and productionizing AI/ML workloads is all about.*See Chapter 8 specifically for a great example of deploying ML workloads using Amazon SageMaker.",5.0 out of 5 stars,The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting
A good book to start Python,5.0 out of 5 stars,Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data
"Das Buch wurde uns im Studium (DataScience) vorab als Grundlage/Basiswerk nahegelegt. Es ist super verständlich geschrieben und deckt die wesentlichen Punkte ab, die man beim Beschaffen und Aufbereiten, sowie Analysieren und Präsentieren von Daten dringend befolgen sollte. Absolute Kaufempfehlung! Mittels Python wird anhand von mächtigen Bibliotheken gezeigt, wie man Daten direkt aus dem Internet (incl. versch. Dateiformate) oder lokal abgreifen/importieren und aufbereiten kann, um damit später Analysen durchführen zu können, oder als Grundlage für KI Anwendungen.",5.0 out of 5 stars,Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data
"Fürs Studium gekauft, jedoch etwas zu teuer.Außerdem musste das Buch mehrfach geliefert werden, da das Paket und das Buch 2 mal beschädigt wurden.",3.0 out of 5 stars,Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data
"Wurde für ""Data Science"" an der Uni für das Fachgebiet Online-Datengewinnung als Standard-Lehrbuch ""zwingend"" empfohlen. Das Buch ist in leicht lesbarem Englisch geschrieben. Didaktisch gut aufgebaut. Auch (und gerade) für Praktiker interessant. Eine Tour d'Horizon für das weite Gebiet der Daten-Akquisition aus dem Internet. Auch modernste Techniken werden besprochen. Setzt Grundkenntnisse in Python voraus. Absolute Empfehlung!",5.0 out of 5 stars,Practical Python Data Wrangling and Data Quality: Getting Started with Reading Cleaning and Analyzing Data
"This book overall is excellent if you have a background in statistics. I can't imagine the introductory chapter on univariate statistics is sufficient for understanding the complexity of regression models covered later in the book, for instance survival analysis. I would not recommend this book for someone without a background in regression models.A small criticism is that though the author does discuss the assumption of regression models, he does not go into great detail on the diagnostic methods. For someone trying these models for the first time, this could lead to error if you do not look elsewhere for more info.Application of analytic models is the theme of this book, and in that regard it excels. My doctorate included several biostatistics and epidemiology courses, and this book was excellent in providing new extensions of those methods to marketing and showing me how to think like a marketer. I also learned plenty of new things, like latent class analysis for segmentation, and simultaneous equations, which were fun chapters.The book is well written for a fast read. The author intentionally does not go into detail on equations, which is nice for application, less so for thorough understanding. Plenty of resources are recommended in-text though to find greater detail.If you want a book that will introduce you to the application of several analytic marketing methods, many of which are drawn from biostatistics and econometrics, this book is great read.",5.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
"I discover web analytics in 2012, while I was in college studying business marketing. I have been doing web analytics since then. I have always wanted to explore predictive analytics with some python libraries. This book gave me a better view of statistics. It’s implied marketing analytics for me and there is some wonderful carrier advice as well.",5.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
"For those who really understand and love the math-side of analytics, Marketing Analytics is filled with actionable insights and detailed examination of the tools needed to break down any campaign. For those that didn't love math in school, it's going to be way over your head.Author Mike Gridsby displays a deep understanding of incredibly detailed analytic skill. Far more than the typical business is applying to their examination of marketing efforts, this book is for those who really want to dive deep and have a more complete understanding of outcome.While it may not be for most marketers, Marketing Analytics is the most detailed look at marketing analytics out there. If you're in charge of data and analytic at your company, grab a copy and gain a better understanding of detailed examination.",4.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
"This was such surprising fun, very broad (but a little simple) in topics covered, easy to read.  I hear its better than the first edition.  I look forward if he comes out with a third book",5.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
"A bit of a strange book, confused as to its audience. Maybe.It's a bit like that college professor that covers the basic material just cause the department makes it so, then proceeds to hammer you with terse explanations and somewhat unhelpful generalizations.Listen to this, the author spends ten pages covering all of statistics from the basic definition of means all the way to probability. Yeah, and that's fine but why waste that space when you then spend 6 pages explaining what panel regression is and how to use it? And by the way, half of those pages are just tables of statistical output...And so on for most of the chapters.You do get the sense that the author is overly concerned with breadth rather than depth, and it shows in how shallow some of his chapter read. It's basically a survey of methods rather than a textbook approach to marketing analytics.The last chapter where he recounts personal experiences in his career all the way from shoe salesman to Ph.D. in tensor analysis is pretty darn good and great practical advice.",3.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
its datasets do not identify  properly the variables  limiting seriously the learning one could acquire from reading this book,2.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
"There is great clarity in Mike Grigsby's book.  The tools are simple and powerful.  The book reads through quickly.  The best and more important value of this book is that it shows how you can be tactical, immediate and responsive while being 100% consumer-focused.  It may feel ""last generation"" if you have only worked in sales-based startups, but this book is exactly -- exactly -- how the marketing of physical products is done.",5.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
A great read. I learned a lot! It really helped me with my Marketing Analytics class. I recommend reading if you are going into this field of work.,5.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
Initially enjoyed it but stopped reading because the book fails to explain how numbers are calculated - you often end up having to do Google searches when the book should explain step by step how numbers are reached. This I found with its ordinary regression table on page 42! In essence the numbers calculate are incorrect and therefore doesn't give you confidence to apply in other situations. Such a shame!,2.0 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
"This is an outstanding book and by far the best machine learning book of the several I have read. I highly recommend.1) The author writes this in a way that you can perform machine learning tasks in R without any prior experience using R or ML. He gets you up to speed quickly on how to download R Studio and explains everything you need to know about R in order to perform the ML tasks that are described later in the book. He doesn't explain all of the things you can do in R as in many other books, because you don't necessarily need to know everything about R to perform ML tasks and this book is about ML. So this is obviously not a book that is exhaustive of everything possible in R.2) The structure of this book is outstanding and very logical. Within each of the chapters on Machine Learning models, he describes the model and how it works, includes a section covering the model's syntax in R, the strengths and weaknesses of each model, compares the model to the prior models discussed, and then uses that foundation to walk you through an example of applying each model to real data. Within the examples, he uses the 5 steps of a modeling process: 1) collecting data, 2) exploring and prepping the data, 3) training the model, 4) evaluating model performance, and 5) Improving model performance. I love this structure!3) His explanations of everything are outstanding. I've read several ML books and he by far is the best at explaining things in a way that people can clearly understand. If the model involves statistical concepts, he explains what you need to know very well.4) The book covers many ML models: K-Nearest Neighbors, Naive Bayes, Decision Trees, Classification Rules, Regression, Regression Trees, Model Trees, Neural Networks, Support Vector Machines, Association Rules, K-Means Clustering, and Random Forests. For an advanced Data Scientist, this may not seem like an exhaustive list. However, I feel that for a beginning data scientist or someone that is just interested in getting a good overview of data modeling, I feel this is a great choice of model coverage.Bottom line- if you're at all interested in machine learning in R, this is the book to get. If you're already an advanced data scientist with years of experience, this may not be the best text for you, though.",5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
"I'd have to say that this book is a simple and clear concise introduction to both R and ML. Probably one of the best books on ML with R I've used. It starts of with a robust introduction to R and stats that'll give you the tools to play around with R. Next, the book goes into the ML with good illustrations using physical representations for easier understanding. It goes on to some vector/component concepts in SVM (obviously) but still retains the intuitive properties of the book.  The book chapters, generally, are independent and can be read as stand alone without much loss in understanding.  Overall, a great book to give you the confidence to move forward in ML.",5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
Really like how it goes through all of the major models and is easy to read.  Learning data science and it's SO HARD to find books that are written for people who are new to the field/not well-versed in all the technical.  Loved that this one was so easy to get through!,5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
"I received the book just recently. I will update my review of the contents later. Two things I noticed right away are (a) The 'dataspelunking.com' website mentioned above (in the Amazon description) and in the book, is an empty shell; and (b)  The link in the preface pointing to a page containing a PDF of color-images of the screenshots/diagrams in the book is broken, leading to a 404 message. The kindest thing one can say about this is that the book has been rushed to publication and released before the associated resources are ready. At worst this is a misrepresentation. While those color figures are not a big loss, this carelessness does not bode well for the attention to detail with which the book was produced, especially since it is in its 3rd edition.Edited: Packt repaired the broken link and contacted me here to point that out. Very nice! I am revising my rating. I will revise again for content after I finish the book!",4.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
"I like this book, as I already took many R courses and boot camps, but practicing doing projects in the book is really a very good experience I went through it.",5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
"The book’s explanations of the concepts/algorithms are very clear and easily understandable. Even if you are not into R, I think it is still a great book for simply learning basics of machine learning.",5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
Easy but i guess this is for programming beginners. I already learned some languages and R programming before so it doesn't help me that much.,5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
Great examples,5.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
"So my issue with this book isn't that it's introductory. I think that fact is quite obvious, actually. My main issues are as follows:First of all, some of the code is just...odd. The author writes bizarre code that is oddly inefficient and imparts the use of inefficient code on beginners. For example, if he shows us how to extract labels for rows x to y and the labes are in a column in a dataframe, he shows us how extracts all the columns for rows x to y and then subsets out the column of interest...why???And second, i wish there was a little more thought into how the book was organized. Not in the order of chapters, but in how the chapters and example problems are appraoched. For example, the author cites packages and tells the reader to install them as they are used in a problem, instead of at the beginning. It would have been very helpful, for example, if at the beginning of each chapter, the packages and datasets used were listed, with links if applicable. Having to stop following the example problems just to install and load a package is quite annoying.",3.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
"I honestly hate this book, but I'm sure there are positive points to it somewhere. My biggest problem right now is the index. The author was apparently too lazy to put functions in the index or create an appendix with all the functions covered.  I had to make my own functional dictionary for all the functions.I think I spent more time researching functions on the internet than actually reading the book.",2.0 out of 5 stars,Machine Learning with R: Expert techniques for predictive modeling 3rd Edition
The delivery was on time and it was perfectly sealed.I recommend this book.,5.0 out of 5 stars,Machine Learning and Big Data Analytics Paradigms: Analysis Applications and Challenges (Studies in Big Data 77)
"Incredibly well done follow-up to the first two volumes of Silverston's data model series (see my reviews for ""The Data Model Resource Book Volume 1 (Revised Edition): A Library of Universal Data Models for All Enterprises"" and ""The Data Model Resource Book Volume 2 (Revised Edition): A Library of Universal Data Models by Industry Types""). As discussed in the introduction to this book, while the first volume answered the question ""Where can we find a book showing a standard way to model common data model structures?"" and the second volume extended the template models presented in the first volume by adding additional data model constructs that are industry specific, this third volume answers the question ""How can we quickly extend and customize these models for our organization and our needs to quickly develop any data model with higher quality, even if it is specific to our enterprise?""The patterns that Silverston and Agnew present are categorized into chapters entitled ""Setting Up Roles: What Parties Do"", ""Using Roles: How Parties Are Involved"", ""Hierarchies, Aggregations, and Peer-to-Peer Relationships: The Organization of Similar Data"", ""Types and Categories: The Classification of Data"", ""Status: The States of Data"", ""Contact Mechanisms: How to Get in Touch"", and ""Business Rules: How Things Should Work"". Each chapter is well laid out, similar in style to other books of this genre such as ""Design Patterns: Elements of Reusable Object-Oriented Software"" by Erich Gamma, Richard Helm, Ralph Johnson, and John Vlissides. In this text, each pattern is laid out in its own section that answers the following questions: ""Why Do We Need This Pattern?"", ""How Does This Pattern Work?"", ""When Should This Pattern Be Used?"", and ""What Are the Weaknesses of the Pattern?""In addition, an aspect of this book that this reviewer especially appreciates is a presentation of each pattern at different levels. While the data management industry habitually refers to conceptual, logical, and physical data models, because there are widely different views as to the definition and purpose behind each of these types of data models (this reviewer is all too familiar with this inconsistency from his consulting engagements), the authors devised four levels of patterns that span from the most static and the more specific (Level 1) to the most flexible and more ""generalized"" (Level 4). The authors explain that the two key purposes of a data model are (1) ""to illustrate and communicate information requirements, and (2) ""to provide a sound foundation for a database design"", and because these purposes can obviously be at odds with each other, depending on the stakeholders involved, care needs to be taken during the modeling process to determine appropriateness of approach.While this reviewer offers no suggestions for alternative terminology, the decision of the authors to use the term ""generalization"" to describe the transformation of very specific data model structures to those which more flexibly support data requirements is interesting (especially given their explanation that they chose to do so since the object-oriented community uses the perhaps more intuitive term ""abstraction"" in a different way that has a different meaning) because this reviewer is well aware that software developers also use the term when referring to an object class superset that has object class ""specializations"". But despite this small matter, the consistent focus of the authors on the purpose of each level of data model presented throughout the text for each group of patterns (always discussing Level 1, Level 2, and Level 3, and sometimes discussing Level 4) is highly valued by this reviewer, especially when the authors discuss these levels in relationship to the Zachman Framework and other data model classification schemes.This reviewer also enjoyed the last two chapters, entitled ""Using the Patterns"" and ""Socializing the Patterns"", in which the authors answer the questions ""How do I use, apply, and/or implement these patterns in my enterprise?"", ""What is an appropriate balance between requiring adherence to the patterns and allowing them to be used completely optionally and used if and when they are helpful to the modeler/designer?"", ""How do you get your enterprise and various people in the enterprise to adopt these patterns?"", and ""What types of policies or principles regarding use of the patterns would be most appropriate to get the most benefit from these patterns?""In the first of these last two chapters (Chapter 9), the authors demonstrate how the patterns can be used to create different data models that meet different needs, using the different levels of patterns as interchangeable components and combining them to solve common data modeling challenges for circumstances surrounding the building of prototyping and scoping data models, application data models, enterprise data models, data warehouse data models, and master data management (MDM) data models. In the list of additional considerations when using generalized patterns at the end of this chapter, this reviewer appreciates their remark that ""generalized structures move the change process from the typical 'data architect to DBA to developer to tester' process to a data change process, and often organizations have no formal process for data change like they have for application change"" and that ""this can be addressed with organizational commitment to flexible data modeling structures"", especially because this reviewer experienced firsthand the impact on culture when implementing database change management processes at his last two clients.Chapter 10 addresses getting these patterns accepted and used appropriately, discussing in detail many of the objections that one might face in the workplace as well as what the authors see as key to success in this regard: (1) understand motivations and work toward meeting them, (2) develop a clear, common, compelling vision, (3) develop trust, and (4) manage conflict effectively. In addition to understanding the motivations of others, the authors also indicate that understanding one's own motivations is also important. While this last chapter is focused on the data model patterns discussed throughout the text, in the opinion of this reviewer the psychological aspects discussed are applicable to a much broader context in the workplace, and it can only help the industry if more authors choose to address such matters. Well recommended book to all data architects and other data management professionals.",5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"""Universal Patterns for Data Modeling"" is the third volume in The Model Resource Book series.In ""Universal Patterns"", authors and data modeling experts Len Silverston and Paul Agnew examine the recurring patterns that are essential for architects to understand in building and maintaining enterprise data models. The book covers key patterns, including those for party, role, hierarchy, classification, status, communications, and business rules.Modeling methodology guides sometimes are overly prescriptive. However, a strength of the Silverston/Agnew book is that it recognizes that different organizations have different requirements. Each pattern is examined across four ""levels."" A level represents the degree of generality or specificity with which the particular pattern is implemented. Thus, there is no underlying ""one-size-fits-all"" assumption, but rather a framework for thinking about the relative tradeoffs in choosing the  level of generality to match given business requirements.Anyone with a serious interest in data modeling should have all three volumes on their bookshelf. However, Volumme 3, ""Universal Patterns"" is definitely the volume to start with if you have not already bought Volumes 1 and 2. I've joked with Len and Paul that Volume 3, is the ""prequel."" For those who are new to this series, start with Volume 3, then go on to Vol. 1 and 2.",5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
Not very practical in use. Someone needs to be engaged in Data Model Pattern level to digest what author is saying about.,2.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"Unlike the world of Object Oriented programming, there are very few pattern books devoted to data modeling.  This is unfortunate because most business applications suffer from over-specialization & inflexibility in the data model, where change is very expensive.  The few data model patterns books that do exist do not explore the depths of subject to the extent that this book does.Based on their many years of experience, Silverston & Agnew chose to focus on the most common areas of interest (Parties, Roles, Relationships, Statuses, Classifications, Contact Mechanisms, & Rules) and offer a set of data model pattens for each.  Each area has a set of ""pattern levels"" ranging from specific to general, listing benefits, drawbacks, & usage guidelines for each.  The modeler can choose which pattern level best suites the enterprise based on perceived needs.This book can be thought of as the ""gang of four"" book for data modeling.  I would recommend this book for anyone engaging in any form of data modeling.  You may not use the exact patterns, but it will at least serve as a catalyst for future thought.",5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"The Data Model Resource Book (3) is a book about database patterns which can be used in many situations. If you are just interested in modeling something and want to check if there is a way to improve your model, but also if you just want to learn something about data modeling concepts.The chapters are always structured in a way that the patterns start of with the easiest (to understand) and also strictest way to model a problem and finish with very flexible patterns.I would say that the book is a good investment, but the first and second book already include a lot of the information that is written in the third part. That means if you don't already have the first and second part of the series it would be better to start with them.",4.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"Third in the series, really pulls together everything I was looking for.  A real aid in my job.",5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"Practical patterns, sound advice, and great people management tips all in one! Highly recommend to anyone interested in data modeling.",5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"All in all I liked the book. The overall content of the book is good. I definitely learned new data structuring techniques that I have been able to implement at work. I did not not like how the book felt repetitive at times, I found myself skipping over a few pages in each chapter. The feel of redundancy is the reason I gave it only 4 stars.",4.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
This volume pulls together the first two and tells how to use and implement universal data models.  Very applicable for what I do.,5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"What a great reference book! If you do anything with database design or architecture, you need to buy each book in this series. Period.",5.0 out of 5 stars,The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling
"I got this book when I was transitioning to doing data science with Python and was struggling to become familiar with standard tools. It's written by the creator of Pandas, and follows the style of the Pandas documentation: dense, telegraphic, peppered with examples.It's hard work because Wes McKinney often does not articulate why you would need to do something (assuming you are already knowledgeable on the underlying process), and writes like an impatient person who would rather be doing something else. Additionally examples often suffer from being both too long and too short - too long in that almost every example is on a toy dataset created from scratch, too short in that most of those datasets have only 5 or 10 elements and do not always showcase complex operations. Other examples (particularly involving time series) have an overabundance of data that make the critical results hard to spot. Frankly, my first month with Pandas was a miserable one.But I give the book 5 stars both because I came to love Pandas as I got more familiar with it, and because while McKinney is not fun to read, he does pack the book with useful information and it is (mostly) well organized. If anything it would benefit from being longer and with a more patient treatment of larger and more concrete datasets (eg the Titanic passenger dataset used in the Pandas documentation). The initial chapter on the basics of using Python could go - if you need this book, then you don't want to be trying to learn the rudiments of Python from it. If you can accept that you'll need a lot of bookmarks or margin notes to get through a rather steep learning curve, it will reward your persistence.",5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"This book has been my foundation of using python as a data analyst.This book primarily focuses on the pandas Python library, which is awesome at processing and organizing data (Python pandas is like MS Excel times 100. This is not an exaggeration). It also introduces the reader into numpy (lower level number crunching and arrays), matplotlib (data visualizations), scikitlearn (machine learning), and other useful data science libraries. The book contains other book recommendations for continuing education.Although this would be a challenging book for a brand new Python user, I would still recommend it, especially if you are currently doing a lot of work in MS Excel and/ or exporting data from databases. I had a few false starts learning Python, and my biggest stumbling block was lack of application in what I was learning. This book puts practical tools in the reader's hands very quickly. I personally don't have time to make goofy games etc. that other books have used as practice examples. Despite other reviews criticizing the use of random data throughout the book, I found the examples easy to follow and useful. I would also argue that learning how to generate random data is useful in itself (thus the purpose of the numpy random library), and that there are practical examples throughout the book. Chapter 14 devoted to real-world data analysis examples.I am almost finished with my second time through the book, this time working through every example. This book has been well worth the hours spent in it. For context, I previously relied on Excel, SQL, and some AutoHotKey. This book has significantly improved how I work.Thanks, Wes and team.",5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"This book covers all of the basics that you would want to know to get started in programming in Python for data analysis, as the title implies, but it doesn't really offer compelling real-world examples. The data seem to be made up and the analyses don't go into enough detail to help you really learn how pandas and numpy work. Overall this is a decent starter book but you will have to bookmark the python and pandas documentation online if you want to have a reference to all of the functionality those tools have, and there are many places online where you can get better examples to learn from. If you haven't made your mind up about which tool to use for data analysis, I highly recommend checking out dplyr in R, which has an excellent free book online (R for data science, hadley wickham). I find it very easy to learn and it is much easier to set up R and RStudio than it is to set up Python, even though I love Python and Pandas.",4.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
Well written by the creator of Pandas.  The author's copious use of code snippets to illustrate his points makes the material very usable.  The snippets are short enough to type by hand so you get the  frequent opportunity to play with the code and really understand the tools being presented.  And Pandas is awesome!,5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"So far, this book has been an inspiring reading. It contains a huge number of data cleansing, transformation, analysis & etc. code snippets. The code is very clean and - for the most part - self-explaining (at least,  for a seasoned software developer). The book step by step displays the motivations behind the design and functionality of center-piece Python modules - and you would not expect anything less from the original designer of Pandas. I feel this wonderful book being a natural extension of ageless Practical CS classics by Niklaus Wirth, Kernighan-Ritchie, and B. Stroustrup for Data Science Age.",5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"I was looking for a book that could help me to learn python. I gave this book a try and I realized that the data analysis that I learnt from this book is pretty good from a pandas viewpoint (mostly).It does explain about numpy, matplotlib and seaborn libraries, but most of the time is oriented from the pandas perspective.Nevertheless, if you want to learn machine learning, numpy and other libraries, consider buying another book.All in all, I liked the book because it teaches you and really well how to wrangle data. I only had wish it had more numpy and other libraries.",5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"This book gave me my first job. And I am still learning it. It is simple, talks some general idea why functions design like this, and introduces some practical functions.  Because in real life real job you always need to look up documentation or to google certain functions, I think the idea why Wes makes functions/variables like this, and what he wants to develop in the future is very important. anyway, I think this book is for data analysis beginner and some intermediate users. I learned Python first so I recommend beginners who want to use Python for Data Analyst/Scientist to learn Python Programming first/simultaneously. At least understand lambda and python expressions, otherwise, you can't feel the full magic.",5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"In addition to details about the Pandas library for Python, the author also includes solid sections about the python language and NumPy. He also explains how IPython works (on a basic level, but many other learning resources skim over this).Fantastic resource especially if you are new to Pandas.",5.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"Great reference to get started with numpy, pandas, and matplotlib. If you’re already familiar with these libraries, I wouldn’t recommend, as it is easier to just google the functions you’re trying to implement. The examples are good but would've been stronger if there was a story to them. Right now they are disjointed examples so it is a bit time consuming understanding the data set and goal for each example when you're looking at 100 examples all using different data.",4.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
"The book is mostly about the capabilities of Pandas + Jupyter notebook (and a little on Numpy). The book is structured to be best as a reference book instead a narrative from start to finish. The problem with this approach is for kindle readers like myself, I find myself using stack overflow to look for answers more than searching for it in this book.It was useful to go through the book once, but i won't be using it often from here onward. I suspect that it will become outdated quickly and getting answers to specific questions from Google is usually much faster and more reliable.",4.0 out of 5 stars,Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython
Great book. Curated to be easy to read most important concepts and tools.,5.0 out of 5 stars,Python Data Analysis: Perform data collection data processing wrangling visualization and model building using Python 3rd Edition
